LastName	FirstName	DatasetID	Dataset	SpeciesName	AccSpeciesID	AccSpeciesName	ObservationID	ObsDataID	TraitID	TraitName	DataID	DataName	OriglName	OrigValueStr	OrigUnitStr	ValueKindName	OrigUncertaintyStr	UncertaintyName	Replicates	StdValue	UnitName	RelUncertaintyPercent	OrigObsDataID	ErrorRisk	Reference	Comment	
Manning	Peter	245	Ecotron Species Composition and Global Change Experiment	Matricaria recutita	213425	chamomilla chamomilla	1778458	13267354			320	Treatment nutrient supply	nitrogen	C											Manning, Houston and Evans 2009 Basic and Applied Ecology 10, 300-308		
Manning	Peter	245	Ecotron Species Composition and Global Change Experiment	Matricaria recutita	213425	chamomilla chamomilla	1778458	13267355			978	Site tree density	density	1											Manning, Houston and Evans 2009 Basic and Applied Ecology 10, 300-308		
Manning	Peter	245	Ecotron Species Composition and Global Change Experiment	Matricaria recutita	213425	chamomilla chamomilla	1778458	13267357	132	Plant biomass and allometry: Seed mass per plant	376	Seed mass per plant	estimated total seed mass	1.39053399999999	g	Single				1.39053399999999	g			1.56565	Manning, Houston and Evans 2009 Basic and Applied Ecology 10, 300-308		
Manning	Peter	245	Ecotron Species Composition and Global Change Experiment	Matricaria recutita	213425	chamomilla chamomilla	1778458	13267360			327	Exposition	Exposition	Growth chamber											Manning, Houston and Evans 2009 Basic and Applied Ecology 10, 300-308		
Manning	Peter	245	Ecotron Species Composition and Global Change Experiment	Matricaria recutita	213425	chamomilla chamomilla	1778459	13267361			2612	Chamber ID	chamber	2											Manning, Houston and Evans 2009 Basic and Applied Ecology 10, 300-308		
Manning	Peter	245	Ecotron Species Composition and Global Change Experiment	Matricaria recutita	213425	chamomilla chamomilla	1778459	13267362			320	Treatment nutrient supply	nitrogen	C											Manning, Houston and Evans 2009 Basic and Applied Ecology 10, 300-308		
Manning	Peter	245	Ecotron Species Composition and Global Change Experiment	Matricaria recutita	213425	chamomilla chamomilla	1778459	13267363			978	Site tree density	density	1											Manning, Houston and Evans 2009 Basic and Applied Ecology 10, 300-308		
Manning	Peter	245	Ecotron Species Composition and Global Change Experiment	Matricaria recutita	213425	chamomilla chamomilla	1778459	13267365	132	Plant biomass and allometry: Seed mass per plant	376	Seed mass per plant	estimated total seed mass	1.210418	g	Single				1.210418	g			1.44044	Manning, Houston and Evans 2009 Basic and Applied Ecology 10, 300-308		
Manning	Peter	245	Ecotron Species Composition and Global Change Experiment	Matricaria recutita	213425	chamomilla chamomilla	1778459	13267368			327	Exposition	Exposition	Growth chamber											Manning, Houston and Evans 2009 Basic and Applied Ecology 10, 300-308		
Manning	Peter	245	Ecotron Species Composition and Global Change Experiment	Matricaria recutita	213425	chamomilla chamomilla	1778460	13267369			2612	Chamber ID	chamber	2											Manning, Houston and Evans 2009 Basic and Applied Ecology 10, 300-308		
Manning	Peter	245	Ecotron Species Composition and Global Change Experiment	Matricaria recutita	213425	chamomilla chamomilla	1778460	13267370			320	Treatment nutrient supply	nitrogen	C											Manning, Houston and Evans 2009 Basic and Applied Ecology 10, 300-308		
Manning	Peter	245	Ecotron Species Composition and Global Change Experiment	Matricaria recutita	213425	chamomilla chamomilla	1778460	13267371			978	Site tree density	density	4											Manning, Houston and Evans 2009 Basic and Applied Ecology 10, 300-308		
Manning	Peter	245	Ecotron Species Composition and Global Change Experiment	Matricaria recutita	213425	chamomilla chamomilla	1778460	13267373	132	Plant biomass and allometry: Seed mass per plant	376	Seed mass per plant	estimated total seed mass	1.13841599999999	g	Single				1.13841599999999	g			1.38509	Manning, Houston and Evans 2009 Basic and Applied Ecology 10, 300-308		
Manning	Peter	245	Ecotron Species Composition and Global Change Experiment	Matricaria recutita	213425	chamomilla chamomilla	1778460	13267376			327	Exposition	Exposition	Growth chamber											Manning, Houston and Evans 2009 Basic and Applied Ecology 10, 300-308		
Manning	Peter	245	Ecotron Species Composition and Global Change Experiment	Matricaria recutita	213425	chamomilla chamomilla	1778461	13267377			2612	Chamber ID	chamber	2											Manning, Houston and Evans 2009 Basic and Applied Ecology 10, 300-308		
Manning	Peter	245	Ecotron Species Composition and Global Change Experiment	Matricaria recutita	213425	chamomilla chamomilla	1778461	13267378			320	Treatment nutrient supply	nitrogen	C											Manning, Houston and Evans 2009 Basic and Applied Ecology 10, 300-308		
Manning	Peter	245	Ecotron Species Composition and Global Change Experiment	Matricaria recutita	213425	chamomilla chamomilla	1778461	13267379			978	Site tree density	density	4											Manning, Houston and Evans 2009 Basic and Applied Ecology 10, 300-308		
Manning	Peter	245	Ecotron Species Composition and Global Change Experiment	Matricaria recutita	213425	chamomilla chamomilla	1778461	13267381	132	Plant biomass and allometry: Seed mass per plant	376	Seed mass per plant	estimated total seed mass	0.894659999999999	g	Single				0.894659999999999	g			1.16762	Manning, Houston and Evans 2009 Basic and Applied Ecology 10, 300-308		
Manning	Peter	245	Ecotron Species Composition and Global Change Experiment	Matricaria recutita	213425	chamomilla chamomilla	1778461	13267384			327	Exposition	Exposition	Growth chamber											Manning, Houston and Evans 2009 Basic and Applied Ecology 10, 300-308		
Manning	Peter	245	Ecotron Species Composition and Global Change Experiment	Matricaria recutita	213425	chamomilla chamomilla	1778462	13267385			2612	Chamber ID	chamber	2											Manning, Houston and Evans 2009 Basic and Applied Ecology 10, 300-308		
Manning	Peter	245	Ecotron Species Composition and Global Change Experiment	Matricaria recutita	213425	chamomilla chamomilla	1778462	13267386			320	Treatment nutrient supply	nitrogen	C											Manning, Houston and Evans 2009 Basic and Applied Ecology 10, 300-308		
Manning	Peter	245	Ecotron Species Composition and Global Change Experiment	Matricaria recutita	213425	chamomilla chamomilla	1778462	13267387			978	Site tree density	density	4											Manning, Houston and Evans 2009 Basic and Applied Ecology 10, 300-308		
Manning	Peter	245	Ecotron Species Composition and Global Change Experiment	Matricaria recutita	213425	chamomilla chamomilla	1778462	13267389	132	Plant biomass and allometry: Seed mass per plant	376	Seed mass per plant	estimated total seed mass	1.00689333333333	g	Single				1.00689333333333	g			1.27429	Manning, Houston and Evans 2009 Basic and Applied Ecology 10, 300-308		
Manning	Peter	245	Ecotron Species Composition and Global Change Experiment	Matricaria recutita	213425	chamomilla chamomilla	1778462	13267392			327	Exposition	Exposition	Growth chamber											Manning, Houston and Evans 2009 Basic and Applied Ecology 10, 300-308		
Manning	Peter	245	Ecotron Species Composition and Global Change Experiment	Matricaria recutita	213425	chamomilla chamomilla	1778463	13267393			2612	Chamber ID	chamber	2											Manning, Houston and Evans 2009 Basic and Applied Ecology 10, 300-308		
Manning	Peter	245	Ecotron Species Composition and Global Change Experiment	Matricaria recutita	213425	chamomilla chamomilla	1778463	13267394			320	Treatment nutrient supply	nitrogen	C											Manning, Houston and Evans 2009 Basic and Applied Ecology 10, 300-308		
Manning	Peter	245	Ecotron Species Composition and Global Change Experiment	Matricaria recutita	213425	chamomilla chamomilla	1778463	13267395			978	Site tree density	density	4											Manning, Houston and Evans 2009 Basic and Applied Ecology 10, 300-308		
Manning	Peter	245	Ecotron Species Composition and Global Change Experiment	Matricaria recutita	213425	chamomilla chamomilla	1778463	13267397	132	Plant biomass and allometry: Seed mass per plant	376	Seed mass per plant	estimated total seed mass	0.353794	g	Single				0.353794	g			0.434417	Manning, Houston and Evans 2009 Basic and Applied Ecology 10, 300-308		
Manning	Peter	245	Ecotron Species Composition and Global Change Experiment	Matricaria recutita	213425	chamomilla chamomilla	1778463	13267400			327	Exposition	Exposition	Growth chamber											Manning, Houston and Evans 2009 Basic and Applied Ecology 10, 300-308		
Manning	Peter	245	Ecotron Species Composition and Global Change Experiment	Matricaria recutita	213425	chamomilla chamomilla	1778464	13267401			2612	Chamber ID	chamber	2											Manning, Houston and Evans 2009 Basic and Applied Ecology 10, 300-308		
Manning	Peter	245	Ecotron Species Composition and Global Change Experiment	Matricaria recutita	213425	chamomilla chamomilla	1778464	13267402			320	Treatment nutrient supply	nitrogen	C											Manning, Houston and Evans 2009 Basic and Applied Ecology 10, 300-308		
Manning	Peter	245	Ecotron Species Composition and Global Change Experiment	Matricaria recutita	213425	chamomilla chamomilla	1778464	13267403			978	Site tree density	density	8											Manning, Houston and Evans 2009 Basic and Applied Ecology 10, 300-308		
Manning	Peter	245	Ecotron Species Composition and Global Change Experiment	Matricaria recutita	213425	chamomilla chamomilla	1778464	13267405	132	Plant biomass and allometry: Seed mass per plant	376	Seed mass per plant	estimated total seed mass	0.141191999999999	g	Single				0.141191999999999	g			1.27192	Manning, Houston and Evans 2009 Basic and Applied Ecology 10, 300-308		
